Attempt,Session,Date,Week,Day,Workout,Time,Distance,Elevation_Gain,Cadence,Avg_Heart_Rate,Temperature,Pace_MPH
First,1,7/28/20,1,Tuesday,Base,0:42:31,4.11,173,166,161,72,5.8
First,2,7/30/20,1,Thursday,Base,0:35:55,3.23,118,151,154,76,5.4
First,3,8/2/20,1,Sunday,Base,0:57:44,5.28,259,156,162,77,5.49
First,4,8/4/20,2,Tuesday,Base,0:45:07,4.19,209,167,157,69,5.57
First,5,8/6/20,2,Thursday,Segments,0:22:51,2.14,89,165,160,64,5.62
First,6,8/7/20,2,Friday,Intervals,0:33:20,3,137,149,153,68,5.4
First,7,8/9/20,2,Sunday,Long,1:05:43,6.01,317,157,167,70,5.49
First,8,8/11/20,3,Tuesday,Base,0:36:16,3.37,157,158,166,80,5.58
First,9,8/13/20,3,Thursday,Segments,0:30:58,2.94,121,164,163,76,5.7
First,10,8/14/20,3,Friday,Intervals,0:28:35,2.64,138,148,148,70,5.54
First,11,8/16/20,3,Sunday,Long,1:00:22,5.7,295,162,159,70,5.67
First,12,8/18/20,4,Tuesday,Base,0:36:13,3.12,146,156,160,68,5.17
First,13,8/20/20,4,Thursday,Segments,0:30:57,2.99,137,169,162,63,5.8
First,14,8/21/20,4,Friday,Intervals,0:32:10,2.84,129,151,157,75,5.3
First,15,8/23/20,4,Sunday,Long,1:17:08,6.81,295,163,163,77,5.3
First,16,8/25/20,5,Tuesday,Base,0:41:27,4.01,159,170,156,69,5.8
First,17,8/27/20,5,Thursday,Segments,0:30:50,2.87,136,163,162,79,5.58
First,18,8/28/20,5,Friday,Intervals,0:32:05,2.88,127,152,162,76,5.39
First,19,8/30/20,5,Sunday,Long,1:36:40,9.04,508,168,160,60,5.61
First,20,9/1/20,6,Tuesday,Base,0:42:06,4.06,169,168,160,63,5.79
First,21,9/3/20,6,Thursday,Segments,0:29:56,2.78,129,165,162,71,5.57
First,22,9/4/20,6,Friday,Intervals,0:41:06,3.68,161,153,153,69,5.37
First,23,9/6/20,6,Sunday,Long,1:49:16,10.02,503,168,158,60,5.5
First,24,9/8/20,7,Tuesday,Base,0:30:15,2.79,127,164,163,75,5.53
First,25,9/10/20,7,Thursday,Segments,0:32:06,2.9,137,163,160,71,5.42
First,26,9/11/20,7,Friday,Intervals,0:30:04,2.85,131,163,160,68,5.69
First,27,9/13/20,7,Sunday,Long,1:43:07,9.04,488,165,160,65,5.26
First,28,9/15/20,8,Tuesday,Base,0:48:03,4.24,206,164,163,52,5.29
First,29,9/17/20,8,Thursday,Segments,0:34:09,3.12,144,165,167,66,5.48
First,30,9/18/20,8,Friday,Intervals,0:34:14,3.18,147,159,161,59,5.57
First,31,9/20/20,8,Sunday,Long,1:50:37,10.15,522,166,162,52,5.51
First,32,9/22/20,9,Tuesday,Base,0:48:06,4.72,214,173,159,54,5.89
First,33,9/24/20,9,Thursday,Segments,0:36:15,3.22,160,161,169,69,5.33
First,34,9/25/20,9,Friday,Intervals,0:39:20,3.38,172,157,159,55,5.16
First,35,9/27/20,9,Sunday,Long,2:00:00,10.35,523,166,156,61,5.18
First,36,9/29/20,10,Tuesday,Base,1:03:34,6.02,312,171,156,60,5.68
First,37,10/1/20,10,Thursday,Segments,0:36:06,3.19,157,166,171,57,5.3
First,38,10/2/20,10,Friday,Intervals,0:39:35,3.72,177,165,156,47,5.64
First,39,10/4/20,10,Sunday,Long,2:08:12,11.4,750,167,174,58,5.34
First,40,10/6/20,11,Tuesday,Base,0:54:17,4.73,236,165,165,61,5.23
First,41,10/8/20,11,Thursday,Segments,0:36:11,3.5,158,166,169,55,5.8
First,42,10/9/20,11,Friday,Intervals,0:42:15,4.28,192,166,161,47,6.08
First,43,10/11/20,11,Sunday,Long,1:36:34,9.07,518,168,166,63,5.62
First,44,10/15/20,12,Thursday,Base,0:35:47,3.34,154,160,161,60,5.6
First,45,10/16/20,12,Friday,Base,0:30:25,3.09,140,172,172,49,6.1
First,46,10/19/20,12,Monday,Race,2:13:19,13.12,770,169,166,51,5.9
Second,1,8/24/21,1,Tuesday,Base,0:46:53,4.19,244,157,161,67,5.36
Second,2,8/26/21,1,Thursday,Base,0:30:15,2.81,120,160,161,69,5.57
Second,3,8/29/21,1,Sunday,Base,0:47:57,4.45,184,159,171,71,5.57
Second,4,8/31/21,2,Tuesday,Base,0:45:59,4.49,278,164,162,66,5.86
Second,5,9/2/21,2,Thursday,Segments,0:22:37,2.06,88,163,160,51,5.46
Second,6,9/3/21,2,Friday,Intervals,0:26:02,2.3,96,148,149,58,5.3
Second,7,9/5/21,2,Sunday,Long,0:54:10,5.15,162,166,170,64,5.7
Second,8,9/7/21,3,Tuesday,Base,0:36:10,3.45,173,168,161,53,5.72
Second,9,9/9/21,3,Thursday,Segments,0:31:58,3.03,167,163,164,60,5.69
Second,10,9/10/21,3,Friday,Intervals,0:32:19,3.01,158,153,156,55,5.59
Second,11,9/12/21,3,Sunday,Long,1:00:09,5.61,277,157,165,73,5.6
Second,12,9/14/21,4,Tuesday,Base,0:36:04,3.4,167,148,155,70,5.66
Second,13,9/16/21,4,Thursday,Segments,0:29:41,3.02,144,165,162,62,6.1
Second,14,9/17/21,4,Friday,Intervals,0:33:09,2.99,160,150,158,67,5.41
Second,15,9/19/21,4,Sunday,Long,0:30:13,2.58,137,154,157,71,5.12
Second,16,9/21/21,5,Tuesday,Base,0:40:42,3.75,173,162,154,62,5.53
Second,17,9/23/21,5,Thursday,Segments,0:30:41,3.02,169,165,166,64,5.91
Second,18,9/24/21,5,Friday,Intervals,0:32:22,2.95,175,158,152,48,5.47
Second,19,9/25/21,5,Saturday,Long,1:18:06,8.05,72,170,163,57,6.18
Second,20,9/28/21,6,Tuesday,Base,0:42:21,4,172,163,164,66,5.67
Second,21,9/30/21,6,Thursday,Segments,0:30:09,3.02,174,167,166,58,6.01
Second,22,10/1/21,6,Friday,Intervals,0:41:03,3.63,189,156,162,42,5.31
Second,23,10/3/21,6,Sunday,Long,1:25:00,8.32,508,165,167,55,5.87
Second,24,10/5/21,7,Tuesday,Base,0:32:02,3.05,165,162,158,64,5.71
Second,25,10/7/21,7,Thursday,Segments,0:32:05,3.05,171,165,165,64,5.7
Second,26,10/8/21,7,Friday,Intervals,0:30:12,2.83,146,159,155,58,5.62
Second,27,10/10/21,7,Sunday,Long,1:32:58,9.22,534,165,160,62,5.95
Second,28,10/12/21,8,Tuesday,Base,0:48:20,4.78,257,166,160,62,5.93
Second,29,10/14/21,8,Thursday,Segments,0:36:54,3.34,176,163,166,53,5.43
Second,30,10/15/21,8,Friday,Intervals,0:34:09,3.16,166,158,166,62,5.55
Second,31,10/17/21,8,Sunday,Long,1:34:49,8.96,560,163,161,51,5.67
Second,32,10/19/21,9,Tuesday,Base,0:32:01,3.01,182,164,164,44,5.64
Second,33,10/21/21,9,Thursday,Segments,0:35:45,3.27,186,164,169,51,5.49
Second,34,10/22/21,9,Friday,Intervals,0:36:00,3.4,184,159,162,51,5.67
Second,35,10/24/21,9,Sunday,Long,1:48:19,10.1,590,159,167,46,5.59
Second,36,11/1/21,10,Tuesday,Base,0:43:04,4.02,231,160,171,46,5.6
Second,37,11/3/21,10,Thursday,Segments,0:36:04,2.82,156,148,150,33,4.69
Second,38,11/4/21,10,Friday,Intervals,0:33:49,3.04,182,149,165,28,5.39
Second,39,11/6/21,10,Sunday,Long,1:50:32,10.06,666,154,167,35,5.46
Second,40,11/8/21,11,Tuesday,Base,0:42:50,4.07,227,165,162,33,5.7
Second,41,11/10/21,11,Thursday,Segments,0:36:05,3.19,176,160,158,51,5.3
Second,42,11/11/21,11,Friday,Intervals,0:42:25,3.88,221,159,169,51,5.49
Second,43,11/13/21,11,Sunday,Long,1:35:16,9.32,574,166,172,44,5.87
Second,44,11/17/21,12,Wednesday,Base,0:36:15,3.03,180,156,160,32,5.02
Second,45,11/18/21,12,Thursday,Base,0:32:42,3.06,175,162,171,42,5.61
Second,46,11/20/21,12,Saturday,Race,2:02:06,13.24,316,172,177,35,6.51